type,sku,name,user,sale_price,cost_price,weight_g,login_date,tax_included,remark,status,qr_payload,photo
product_add,DTGJZS9859-2510-0001,D2.35 R1.25 PT900,admin,500000,350000,3.5,2025-10-08,1,A拍卖会,在库,SF1:DTGJZS9859:DTGJZS9859-2510-0001:BFRKVO,data\photos\DTGJZS9859-2510-0001_20251008_001116.png
product_add,DTGJZS9859-2510-0002,钻石2.35ct 红宝石2.2ct,admin,500000,350000,12.4,2025-10-08,1,B拍卖会,在库,SF1:DTGJZS9859:DTGJZS9859-2510-0002:Z5RYF2,data\photos\DTGJZS9859-2510-0002_20251008_001209.jpg
loan_create,1,L251008001,1111,,,0.8,1,400000,['DTGJZS9859-2510-0002'],admin,2025-10-08 00:13:01
loan_create,2,L251008002,222,小A,,0.7,1,350000,['DTGJZS9859-2510-0001'],admin,2025-10-08 00:13:32
product_add,DTGJZS4040-2510-0001,钻石2.35ct 红宝石2.2ct,admin,500000,350000,12.4,2025-10-08,1,B拍卖会,在库,SF1:DTGJZS4040:DTGJZS4040-2510-0001:UCFJH6,data\photos\DTGJZS4040-2510-0001_20251008_003444.png
product_add,DTGJZS4040-2510-0002,钻石2.35ct 红宝石2.2ct,admin,500000,10000,5.32,2025-10-08,0,,在库,SF1:DTGJZS4040:DTGJZS4040-2510-0002:UYU7CV,data\photos\DTGJZS4040-2510-0002_20251008_003504.png
loan_create,1,L251008001,111,,,0.9,1,450000,['DTGJZS4040-2510-0002'],admin,2025-10-08 00:35:31
loan_create,2,L251008002,2222222,,,0.9,1,450000,['DTGJZS4040-2510-0001'],admin,2025-10-08 00:43:48
product_add,DTGJZS4040-2510-0003,GIA,admin,130000,10000,3.5,2025-10-08,1,,在库,SF1:DTGJZS4040:DTGJZS4040-2510-0003:66D77J,data\photos\DTGJZS4040-2510-0003_20251008_004626.jpg
product_add,DTGJZS4040-2510-0004,K18,admin,130000,20000,,2025-09-01,1,,在库,SF1:DTGJZS4040:DTGJZS4040-2510-0004:7RICIM,data\photos\DTGJZS4040-2510-0004_20251008_021848.png
